file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,134,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,12
style.css,135,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,13
style.css,136,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,37
style.css,137,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,18
style.css,138,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,16
style.css,139,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,0
style.css,140,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,0
style.css,141,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,15
style.css,142,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,15
style.css,143,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,25
style.css,144,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,14
style.css,145,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,17
style.css,146,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,11
style.css,147,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,0
style.css,148,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,0
style.css,149,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,15
style.css,150,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,15
style.css,151,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,9
